Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-4491.514	-4510.109	18.59499	5.797069e+07	0.245662	0.00211258	0.00645657	0.00124324	0.00318454	0.00298218	0.0181952	0.0292311	0.0209835	0.000871445	0.00283148	0.00627865	0.0157809	0.0849525	0.0290366	0.0455459	0.0278153	0.0553549	0.0549398	0.0053919	0.0482415	0.036864	0.0258859	0.0314384	0.0250046	0.0198798	0.00397117	0.0141311	0.0214118	0.0142666	0.0340455	0.0070133	0.0581096	0.00984318	0.0268748	0.0283399	0.569246	0.0307779	0.0295684	0.321302	0.0207654	0.999833	0.999958	1.00004	1.00017	0.29296	0.393432	0.118639	0.194969	0.6039179	1.035832
110	-4479.918	-4497.313	17.39499	9.595487e+07	0.345796	0.00102329	0.00320468	7.99328e-05	0.00233445	0.00393213	0.00950848	0.0533149	0.0503921	0.00542428	0.00461777	0.00711356	0.0120969	0.0786156	0.0166023	0.0603326	0.0378394	0.055724	0.0610645	0.0085769	0.0187396	0.0309128	0.0306064	0.00942695	0.0351329	0.0267169	0.00947235	0.0164995	0.011436	0.0456801	0.0258604	0.00163815	0.0487343	0.00430182	0.0230787	0.0185006	0.619057	0.029573	0.0131384	0.304077	0.0156544	0.99987	0.999966	1.00003	1.00013	0.300513	0.40477	0.0992517	0.195465	0.6277612	1.155831
120	-4489.48	-4504.991	15.51065	9.745769e+07	0.417144	0.00323941	0.00707588	0.0010505	0.00233445	0.00416272	0.0239705	0.0197447	0.0354082	0.00804433	0.00419041	0.00367029	0.0208329	0.0786156	0.0309014	0.0645988	0.0348715	0.0616198	0.0882763	0.00992742	0.0476026	0.0303055	0.050655	0.00814666	0.0330202	0.0580152	0.00223958	0.0139214	0.0150405	0.0429922	0.00863995	0.000107797	0.0649961	0.00242233	0.0464813	0.0190612	0.597943	0.0214906	0.0163316	0.299513	0.0456606	0.999871	0.999967	1.00003	1.00013	0.304224	0.38139	0.105755	0.208631	0.5975943	1.344266
130	-4482.999	-4499.718	16.71837	9.745769e+07	0.292571	0.000599637	0.00630096	0.00232981	0.00353435	0.0023684	0.0199445	0.0239548	0.0450308	0.00471009	0.00454177	0.0117447	0.0249669	0.0922471	0.041242	0.0643472	0.0525424	0.0602042	0.0827439	0.00887441	0.0305709	0.0312851	0.0498172	0.0299598	0.00621966	0.0253492	1.88549e-05	0.0145676	0.0159248	0.0349264	0.0323562	0.00207157	0.0695716	0.00646961	0.0295868	0.0297703	0.590205	0.023523	0.0075759	0.311501	0.0374253	0.999871	0.999967	1.00003	1.00013	0.286989	0.390235	0.109064	0.213711	0.5781699	1.223494
140	-4478.851	-4497.173	18.32212	3.961637e+07	0.306658	0.000804815	0.00482512	0.000277942	0.000217559	0.00143549	0.0122231	0.0229037	0.0395831	0.00528995	0.00392499	0.00582819	0.0187863	0.0922471	0.0275401	0.0734748	0.0278633	0.0582482	0.0660235	0.0182501	0.0149866	0.0104834	0.0260402	0.0174036	0.00543675	0.0312594	0.00125906	0.0206632	0.0135078	0.0288622	0.0158468	0.00897788	0.05315	0.0104004	0.0184354	0.0260177	0.57335	0.0171321	0.0155867	0.352752	0.015161	0.999798	0.999948	1.00005	1.0002	0.288039	0.386424	0.110436	0.215101	0.6374425	1.063118
150	-4481.86	-4498.68	16.81923	8.768248e+07	0.420641	0.00267008	0.00663371	0.0048656	0.000188678	0.00438729	0.0201208	0.023126	0.0316451	0.00349752	0.00431517	0.0059351	0.0145887	0.0863263	0.0282709	0.0538089	0.0631696	0.0354028	0.0779021	0.0119283	0.0369113	0.0125942	0.0189876	0.0130881	0.0199138	0.0193715	0.00154898	0.0232701	0.0110718	0.0256972	0.0348215	0.00183792	0.0673735	0.00649986	0.0209968	0.0315053	0.604335	0.0288458	0.0217872	0.287019	0.0265076	0.999864	0.999965	1.00003	1.00014	0.297968	0.394685	0.105154	0.202192	0.6131958	1.213408
160	-4478.954	-4496.938	17.98362	5.327798e+07	0.321584	0.00143689	0.0102139	0.000344031	0.00205655	0.00438974	0.0148827	0.0256109	0.0365066	0.00992806	0.00156886	0.0119226	0.00978527	0.0826494	0.00804657	0.0530511	0.0273058	0.0635837	0.0471417	0.00816566	0.0396227	0.0180905	0.0279793	0.0174606	0.0328216	0.0288998	0.00735875	0.0221902	0.0140407	0.020759	0.0350501	0.00183792	0.0583248	0.0153825	0.0169766	0.023486	0.580052	0.0283197	0.0353699	0.321303	0.0114688	0.999826	0.999955	1.00004	1.00017	0.287386	0.39608	0.105912	0.210621	0.6168155	1.096969
170	-4476.01	-4493.965	17.95466	8.216214e+07	0.285691	0.00247142	0.00573297	0.000125218	0.000970057	0.00313115	0.0203971	0.0283324	0.0262991	0.00802399	0.00278457	0.00405864	0.0127864	0.0793701	0.0165932	0.0373052	0.0459084	0.0619551	0.0842247	0.0299993	0.0269708	0.0248273	0.01337	0.0192676	0.0522169	0.0555397	0.00281885	0.0236708	0.0159253	0.00775655	0.0145076	8.06356e-05	0.0474165	0.000867444	0.0384684	0.0281626	0.578548	0.0310341	0.0196152	0.325516	0.0171242	0.99986	0.999964	1.00004	1.00014	0.299328	0.386496	0.111755	0.202421	0.614449	1.099865
180	-4479.365	-4496.035	16.66904	9.486354e+07	0.344135	0.00143424	0.00676669	0.000808271	0.000970057	0.00418233	0.0174911	0.0283324	0.0388353	0.00846283	0.00041195	0.00832225	0.0285321	0.0989911	0.021408	0.0367552	0.0401016	0.0574922	0.096565	0.0345223	0.0413247	0.0182885	0.0336104	0.0200465	0.0267051	0.016589	0.00448661	0.0217239	0.0100508	0.0209632	0.0454987	0.013568	0.0531762	0.003728	0.0241475	0.0254111	0.596142	0.0317703	0.0182678	0.287874	0.0405352	0.999869	0.999966	1.00003	1.00013	0.286537	0.404024	0.105754	0.203685	0.6157113	1.228427
190	-4481.115	-4498.857	17.74234	9.074282e+07	0.27691	0.00185965	0.00591623	0.000548412	0.00119302	0.00476602	0.0245455	0.0304795	0.0438751	0.00527051	0.00427926	0.00399107	0.0150511	0.0952447	0.00847915	0.0680465	0.0482095	0.0301074	0.0622944	0.0234946	0.0330247	0.0182885	0.0336104	0.0180015	0.0648139	0.03166	0.0188261	0.019084	0.0118407	0.0102888	0.0107162	0.00308677	0.0728187	0.0048372	0.0156374	0.0202593	0.602405	0.0225699	0.0206724	0.304467	0.029626	0.999867	0.999965	1.00003	1.00013	0.279611	0.412904	0.116891	0.190594	0.6117765	1.121097
200	-4481.998	-4499.542	17.54369	2.263869e+07	0.3121	0.00716722	0.0010485	0.000812714	0.00305926	0.00616472	0.0144111	0.0230674	0.0453241	0.00664314	0.00633381	0.00584039	0.0174919	0.0953472	0.0240233	0.0707438	0.0384134	0.0557522	0.0639086	0.0236588	0.0290691	0.0394029	0.0336104	0.0229838	0.0356991	0.0210468	0.00866933	0.0137219	0.0164169	0.00311801	0.0272376	0.00523378	0.0519478	0.00112095	0.0103713	0.0306607	0.554194	0.0237103	0.0144518	0.333116	0.0438671	0.999733	0.999932	1.00007	1.00027	0.28095	0.394282	0.11162	0.213148	0.618742	1.140961
210	-4488.38	-4505.783	17.40299	2.54605e+07	0.331422	0.00191796	0.0111629	0.00087114	0.000226245	0.00290748	0.0147703	0.0283231	0.0280901	0.00552546	0.00222086	0.00535922	0.0205269	0.0585804	0.0129548	0.0639822	0.0298379	0.0284834	0.0910516	0.0141574	0.0238972	0.0191861	0.0402782	0.0194068	0.052542	0.0362457	0.00129018	0.030398	0.0241594	0.0339424	0.0136593	0.00438889	0.0852635	0.000561045	0.0174413	0.0276788	0.557504	0.0243718	0.0193817	0.346539	0.0245251	0.999748	0.999936	1.00006	1.00025	0.30424	0.3868	0.111271	0.197688	0.6160739	1.155032
220	-4482.813	-4501.731	18.91751	9.697441e+07	0.26444	0.00199209	0.00256105	0.00242672	0.000814107	0.00557648	0.0127934	0.0283093	0.0437972	0.000620335	0.00573777	0.0138844	0.0138294	0.0485718	0.0193651	0.042632	0.0537895	0.0547159	0.0676593	0.00969278	0.0206548	0.0191861	0.00940229	0.0257968	0.0380648	0.0159186	0.0025804	0.0149753	0.00562736	0.0278845	0.0292246	0.00792856	0.0533743	0.00783562	0.0319173	0.0330609	0.596675	0.0230185	0.00954415	0.314941	0.0227598	0.999871	0.999967	1.00003	1.00013	0.293803	0.392361	0.116311	0.197525	0.6375207	1.00358
230	-4483.173	-4501.497	18.32386	6.4996e+07	0.279144	0.00655959	0.000821547	0.000149731	0.00322923	0.0040449	0.0165977	0.0211354	0.0453161	0.00501515	0.00710039	0.00528868	0.0177262	0.0692818	0.00930851	0.0704902	0.0496836	0.0279932	0.0503	0.0239561	0.0259891	0.0184335	0.0547022	0.0336258	0.0259287	0.0255719	0.000137836	0.018683	0.00850972	0.0227151	0.0348404	0.0018072	0.0440467	0.00783562	0.0269758	0.0259252	0.613961	0.0219226	0.0107575	0.284872	0.0425618	0.999842	0.999959	1.00004	1.00016	0.278025	0.39866	0.106706	0.21661	0.6113849	1.062945
240	-4478.607	-4496.35	17.74333	8.293641e+07	0.306257	0.00336317	0.0018282	0.000645331	0.000874929	0.00334618	0.0165977	0.0173789	0.0381165	0.0166543	0.00276809	0.00374604	0.0140733	0.0729333	0.031322	0.0513045	0.0367897	0.0514193	0.0765884	0.0536479	0.023396	0.0213006	0.0162532	0.0296073	0.0370563	0.0256161	0.00401347	0.0180571	0.0185362	0.0143857	0.0159535	0.0035665	0.0611019	0.00154343	0.0309555	0.0288933	0.639589	0.00892501	0.0133065	0.276649	0.0326368	0.99986	0.999963	1.00004	1.00014	0.28589	0.373306	0.111599	0.229205	0.6216406	1.120998
250	-4474.369	-4492.195	17.8257	9.94212e+07	0.353896	0.00172347	0.00578918	0.000878613	0.00074731	0.00541056	0.0136947	0.0310129	0.0370261	0.00357543	0.00559037	0.00666888	0.0122312	0.0617359	0.0250691	0.0392886	0.0394708	0.042053	0.0724261	0.0298275	0.030824	0.0119838	0.0328468	0.0213707	0.0300497	0.0136109	0.00239699	0.0161181	0.0130635	0.0091188	0.0180586	0.00253313	0.0795725	0.0114013	0.0316963	0.0362612	0.594717	0.0086542	0.014377	0.323848	0.0221429	0.999872	0.999968	1.00003	1.00013	0.306281	0.377672	0.107813	0.208234	0.6063407	1.11276
260	-4473.255	-4491.433	18.1777	7.875994e+07	0.332001	0.00172347	0.00679646	0.00100053	0.000678604	0.00316845	0.013425	0.0292637	0.0266998	0.00322297	0.00401339	0.0124651	0.0177918	0.0733279	0.0128863	0.0404336	0.0456609	0.063896	0.0467564	0.0164726	0.0256789	0.0169087	0.031173	0.0258137	0.0152275	0.0222081	0.00293526	0.0198119	0.0130547	0.0207995	0.0371464	0.00673496	0.0633911	0.00779287	0.0171999	0.024067	0.594051	0.0189051	0.0136972	0.323486	0.0257945	0.999857	0.999963	1.00004	1.00014	0.292291	0.393319	0.113003	0.201386	0.6269559	1.07756
270	-4495.019	-4512.338	17.31903	9.036196e+07	0.231373	0.0098888	0.00623813	0.00526024	8.6954e-05	0.0106382	0.0218305	0.0277009	0.0347497	0.00918569	0.0101435	0.0100631	0.0184079	0.111454	0.0190271	0.0633384	0.0418316	0.0501657	0.101425	0.0456974	0.0291146	0.0223058	0.0420803	0.0161549	0.0215434	0.0378145	0.00114143	0.00956295	0.00794769	0.00536981	0.0272687	0.00577172	0.0908457	0.00415931	0.013841	0.0283069	0.533028	0.0324658	0.0188577	0.37185	0.0154914	0.999866	0.999965	1.00003	1.00013	0.289575	0.385091	0.115778	0.209556	0.6207064	1.163428
280	-4472.354	-4489.58	17.22561	4.148571e+07	0.38202	0.000805165	0.00463181	8.85837e-05	0.00106541	0.00339088	0.0241284	0.0254867	0.0421736	0.00864135	0.0032028	0.00568157	0.0140017	0.0814101	0.0380206	0.0456377	0.0352851	0.0611362	0.0641062	0.0200052	0.0228273	0.0208393	0.0180584	0.016302	0.0416826	0.0420491	0.00720634	0.00841726	0.0140493	0.0126274	0.0102946	0.00254385	0.0645097	0.00789002	0.0225538	0.0237632	0.615424	0.029732	0.0225762	0.292741	0.015764	0.999803	0.99995	1.00005	1.0002	0.291564	0.375457	0.108535	0.224443	0.6087325	1.17277
290	-4480.845	-4498.597	17.75162	5.493937e+07	0.300279	0.000275034	0.00638464	0.00097531	0.00365705	0.00381537	0.0233335	0.0183408	0.0299153	0.00719668	0.00617831	0.00734789	0.010032	0.0811412	0.0389322	0.0476813	0.0585055	0.048408	0.0782161	0.0263463	0.0287451	0.0181256	0.017597	0.0356195	0.0284116	0.0394354	0.00144382	0.0197814	0.00549716	0.00425685	0.00585832	0.0100951	0.0782901	0.00633038	0.0237203	0.0259137	0.55648	0.03063	0.0205329	0.34347	0.0229733	0.999828	0.999956	1.00004	1.00017	0.289363	0.39266	0.110209	0.207768	0.6222397	1.120169
300	-4482.102	-4500.14	18.03826	4.408912e+07	0.323756	0.00700428	0.00588734	0.00476256	0.00197499	0.00270261	0.0164347	0.0258288	0.0234863	0.00522987	0.00262103	0.00516776	0.0180002	0.0744762	0.018662	0.0350253	0.0355413	0.0601924	0.0557669	0.0178367	0.0368407	0.0175145	0.0554932	0.0234606	0.0565897	0.030316	0.00160876	0.0180442	0.0184033	0.00460676	0.0090331	0.000984336	0.0467798	0.00354341	0.0279287	0.0309911	0.61915	0.0129133	0.0126852	0.299677	0.0245835	0.999809	0.99995	1.00005	1.00019	0.290787	0.381992	0.11606	0.211161	0.6365663	1.091505
310	-4482.125	-4501.072	18.94758	7.182673e+07	0.223394	0.00550403	0.00536347	0.00688812	0.000792513	0.00544225	0.0125041	0.0266434	0.0301239	0.00470783	0.00529414	0.00416609	0.02418	0.0891401	0.0315836	0.0394174	0.0491171	0.0372256	0.0574102	0.0242276	0.017432	0.0185129	0.0232496	0.0161429	0.0565897	0.0336814	0.000556806	0.023031	0.0189041	0.0101353	0.0120362	0.00195601	0.055174	0.00211665	0.0279287	0.0321998	0.584271	0.0166082	0.0167705	0.305822	0.0443283	0.99985	0.999961	1.00004	1.00015	0.320336	0.366182	0.102869	0.210614	0.631388	1.000573
320	-4474.677	-4493.438	18.76054	1.943909e+07	0.260343	0.00291664	0.00766074	0.000572847	0.00287063	0.00650152	0.0181934	0.0270901	0.0377968	0.00433877	0.00321123	0.00723417	0.0143677	0.0825798	0.0209109	0.0393723	0.0375609	0.0474142	0.0871424	0.0200061	0.0189532	0.0169172	0.0242686	0.0284047	0.0264143	0.0294856	0.00598994	0.0199243	0.00945375	0.0356138	0.0102477	0.00349608	0.0444133	0.00282091	0.0147897	0.0260224	0.554277	0.0185769	0.0155709	0.330336	0.0552165	0.999712	0.999926	1.00007	1.00029	0.307291	0.40149	0.102841	0.188379	0.6176401	1.019277
330	-4484.372	-4501.563	17.1915	8.067096e+07	0.353041	0.00272188	0.00863839	0.000269216	0.000551261	0.00365949	0.0286423	0.0257535	0.0441616	0.0051586	0.00566843	0.00357256	0.0274268	0.0672101	0.0155837	0.0404854	0.0566266	0.0354773	0.0631282	0.00521606	0.0371229	0.0179805	0.0401534	0.0187189	0.0341973	0.0361874	0.00661039	0.0166042	0.00696626	0.0356138	0.00358956	0.0135943	0.090887	0.00722206	0.0177403	0.0269586	0.625898	0.0419303	0.0163079	0.275345	0.0135606	0.999858	0.999964	1.00004	1.00014	0.27018	0.40121	0.112796	0.215814	0.6101318	1.176181
340	-4481.102	-4498.261	17.15919	9.006022e+07	0.313554	0.00970316	0.00811256	1.34698e-05	0.000196649	0.00247672	0.0185429	0.0474843	0.0419823	0.00171805	0.00748905	0.00268154	0.0179667	0.0785517	0.026351	0.0423031	0.045007	0.0571336	0.0652933	0.00616172	0.0317647	0.0237572	0.0469165	0.0168492	0.0177416	0.0267685	0.00882935	0.0227422	0.0194178	0.0315564	0.0312438	0.00611315	0.0783042	0.00982542	0.0148588	0.0339032	0.573399	0.0258936	0.0158717	0.325277	0.0256555	0.999866	0.999967	1.00003	1.00013	0.288914	0.389747	0.108107	0.213232	0.6046456	1.179412
350	-4486.96	-4504.683	17.72308	7.806907e+07	0.235601	0.00206662	0.00780732	0.00156544	0.000458229	0.00745483	0.0170267	0.0411702	0.0414663	0.00470223	0.00578177	0.0094198	0.0270664	0.0994192	0.0323203	0.0476872	0.0475878	0.0502525	0.0715698	0.0228365	0.0284486	0.0196958	0.0469347	0.0276824	0.0315181	0.031928	0.00840725	0.0158801	0.00491134	0.00566147	0.0164746	0.00309136	0.0738328	0.0134891	0.0218058	0.0370355	0.545207	0.0372773	0.00615937	0.338531	0.035789	0.999856	0.999964	1.00004	1.00014	0.303479	0.351166	0.115026	0.230329	0.6060383	1.123022
360	-4484.095	-4502.196	18.10139	3.131894e+07	0.304939	0.00132788	0.00421205	0.000256411	0.00185117	0.00757595	0.00918003	0.0253719	0.0411949	0.00647815	0.000779476	0.00621199	0.0112509	0.0597423	0.0137977	0.042509	0.0444636	0.0541255	0.0689127	0.0132307	0.0104502	0.0256127	0.0254736	0.0349375	0.00132033	0.039167	0.0345782	0.00919643	0.00640906	0.010055	0.0501698	0.00911913	0.0801823	0.00249519	0.0286135	0.0382265	0.56274	0.0247713	0.0160805	0.349418	0.00876313	0.999773	0.999942	1.00006	1.00023	0.291019	0.382962	0.119942	0.206077	0.6412217	1.085191
370	-4490.08	-4504.935	14.85475	2.256841e+07	0.473288	0.000280999	0.00858565	0.00310582	0.00210973	0.00907351	0.0168492	0.0307379	0.034271	0.00448415	0.00373108	0.00159326	0.0215089	0.119847	0.0130557	0.067947	0.0453218	0.0791472	0.069544	0.0336251	0.00991886	0.01876	0.0381362	0.0504641	0.0344162	0.0287593	0.0418043	0.0207327	0.0118009	0.00313468	0.0116198	0.00424285	0.066886	0.00136736	0.0297047	0.0215846	0.652456	0.0287723	0.0184742	0.264879	0.0138339	0.999732	0.999932	1.00007	1.00027	0.266425	0.42721	0.0912663	0.215098	0.58925	1.409855
380	-4484.269	-4501.314	17.04405	4.716572e+07	0.360764	0.00164747	0.00381453	0.000988763	0.00244754	0.00608292	0.0150469	0.0352704	0.0481277	0.00526907	0.00311939	0.0129346	0.014098	0.0898602	0.018977	0.0330007	0.0338499	0.0559018	0.0632522	0.0239397	0.0120013	0.0228077	0.0484515	0.0210277	0.0345782	0.0352634	0.027816	0.0179832	0.0139614	0.0210844	0.0118228	0.00134097	0.0552681	0.00453621	0.0345901	0.02612	0.610991	0.0287269	0.0174127	0.300561	0.0161891	0.999815	0.999953	1.00005	1.00019	0.274264	0.410517	0.0947541	0.220465	0.6209838	1.190925
390	-4477.933	-4493.894	15.96052	2506315	0.429409	0.00683913	0.0122004	0.000688945	0.00156862	0.00429718	0.0172863	0.0399853	0.0354622	0.0047746	0.00528344	0.00572384	0.0168047	0.100345	0.0280628	0.0401646	0.0323022	0.060243	0.0964842	0.0244384	0.00557858	0.0253191	0.0404454	0.0306952	0.0225468	0.0220698	0.0269794	0.0142996	0.0195856	0.00469405	0.0293504	0.00255798	0.0696653	0.00577977	0.0173483	0.0230704	0.680924	0.0280195	0.0111857	0.245214	0.0115869	0.999197	0.999795	1.0002	1.0008	0.29166	0.396783	0.103314	0.208243	0.6301016	1.299279
400	-4483.822	-4499.714	15.89238	8.262546e+07	0.382357	0.00450359	0.0120825	0.000700655	0.000406144	0.0040039	0.0216158	0.0356204	0.0367128	0.00972218	0.0035555	0.00749695	0.0192906	0.0887472	0.0383683	0.0469172	0.087299	0.047238	0.0728592	0.022139	0.00254652	0.0215232	0.0293666	0.019309	0.0361642	0.0296313	0.0225934	0.0124509	0.0133299	0.0214999	0.0293504	0.00785987	0.0840013	0.00572944	0.0291007	0.0181287	0.607663	0.0400762	0.0169605	0.290974	0.0261979	0.99986	0.999965	1.00004	1.00014	0.29472	0.388733	0.10078	0.215766	0.5957515	1.306093
