Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-4474.649	-4493.371	18.72214	5.564304e+07	0.270713	0.00360599	0.00721514	0.0011721	0.00141615	0.0038461	0.0165142	0.0154129	0.0275577	0.00500597	0.00261076	0.00708042	0.0107492	0.0763142	0.0210476	0.0488784	0.0444497	0.0460788	0.052612	0.0187156	0.0434348	0.0200386	0.015918	0.0178199	0.0311502	0.0286983	0.00119571	0.020857	0.0180934	0.0194688	0.0183787	0.00050816	0.065097	0.00634292	0.0351187	0.0233127	0.615099	0.0227146	0.0216349	0.294954	0.0222851	0.99983	0.999957	1.00004	1.00017	0.275001	0.401663	0.100869	0.222467	0.6233283	1.023116
10	-4475.853	-4492.805	16.95125	1.400985e+07	0.346442	0.000348603	0.00831687	0.00036752	0.00163795	0.00915672	0.0165142	0.0374712	0.0262803	0.00394657	0.00211668	0.00342555	0.0111537	0.0720922	0.0142138	0.0551267	0.0451969	0.0601909	0.0908005	0.0259079	0.0360132	0.0145933	0.0304019	0.0169714	0.0419325	0.0236297	0.00113305	0.0237305	0.0142421	0.0103854	0.0235829	0.00410314	0.0970229	0.0147813	0.0169747	0.0245817	0.653228	0.0291459	0.0175727	0.265785	0.00968674	0.99966	0.999913	1.00009	1.00034	0.283674	0.40144	0.10747	0.207416	0.5924136	1.200205
20	-4475.406	-4492.088	16.6824	8.447103e+07	0.340738	0.00363234	0.00556699	0.000119837	0.000107855	0.00681753	0.0111153	0.0255415	0.0590105	0.00379487	0.00230343	0.00996031	0.0129049	0.0929638	0.02146	0.0629857	0.0328327	0.0651036	0.072131	0.0360293	0.0261352	0.0211606	0.0276532	0.021695	0.0420938	0.0388313	0.000883614	0.0237305	0.00966339	0.0065582	0.0285744	0.00410314	0.0828716	0.00274822	0.0252688	0.021133	0.627905	0.0226886	0.0201967	0.300619	0.00745715	0.999861	0.999965	1.00004	1.00014	0.278716	0.417981	0.0977594	0.205544	0.6210884	1.22709
30	-4483.707	-4499.907	16.20001	5.208945e+07	0.398405	0.0077406	0.00250086	0.000536808	0.00245718	0.00310656	0.019517	0.0452975	0.0322875	0.00411116	0.00419892	0.0111009	0.0225536	0.0749061	0.019088	0.050504	0.0425988	0.0393777	0.072131	0.0462071	0.0379173	0.0259	0.0273063	0.0338459	0.0425987	0.041004	0.00771703	0.0133476	0.0116692	0.0151312	0.0103274	0.00916123	0.0646713	0.00162431	0.0344824	0.0217851	0.647281	0.0226235	0.00601966	0.276772	0.0255194	0.999824	0.999955	1.00005	1.00018	0.311182	0.377697	0.103172	0.207948	0.6074695	1.27533
40	-4491.366	-4508.289	16.92312	2.719896e+07	0.332532	0.000676966	0.00643121	0.00384447	4.40921e-05	0.00305002	0.019517	0.0344745	0.0547637	0.00144566	0.00163036	0.0111009	0.0201168	0.0830949	0.0188665	0.0370356	0.0432836	0.067624	0.0676799	0.0462071	0.0348545	0.0377184	0.0572877	0.0184303	0.0245909	0.0177952	0.00293784	0.014727	0.0228222	0.00522632	0.0124526	0.00180029	0.0682179	0.00843798	0.0223001	0.0124042	0.571596	0.0349105	0.0246696	0.31394	0.0424794	0.999756	0.999938	1.00006	1.00024	0.31506	0.37444	0.102809	0.207691	0.6217033	1.203018
50	-4487.019	-4504.93	17.91038	3.751741e+07	0.262379	0.000149039	0.00706094	0.00104388	0.00111613	0.00207568	0.027183	0.0173398	0.0299678	0.00818905	7.60838e-05	0.000948735	0.0332748	0.0818284	0.0450524	0.0435185	0.037749	0.067624	0.0791708	0.025151	0.0398753	0.015327	0.0179913	0.0238151	0.0200862	0.0339752	0.00218319	0.0199173	0.0194261	0.0114619	0.0185612	0.00847475	0.0702123	0.0104264	0.021661	0.0214385	0.573503	0.0341615	0.0186493	0.331482	0.0207655	0.999792	0.999947	1.00005	1.00021	0.279815	0.392047	0.114521	0.213617	0.6049503	1.104292
60	-4472.443	-4489.907	17.46438	2.54281e+07	0.368645	8.59015e-05	0.00689197	0.00417323	0.00170917	0.00534418	0.0110229	0.0232135	0.0482157	0.00251009	0.000441248	0.00401662	0.0156783	0.0869174	0.0267108	0.0548858	0.0338572	0.047191	0.0564877	0.0240681	0.031888	0.0223007	0.0221004	0.0222037	0.0254158	0.0198477	0.00716557	0.0177583	0.0147442	0.0105261	0.0176117	0.00457606	0.0864187	0.00565772	0.0186124	0.0298908	0.589291	0.0306272	0.0205781	0.317827	0.0117858	0.999748	0.999936	1.00006	1.00025	0.304288	0.384985	0.117508	0.193219	0.6208642	1.148892
70	-4480.991	-4497.756	16.76499	6.262544e+07	0.346269	0.00270872	0.00649772	0.00414094	0.000379058	0.00574357	0.0253729	0.0311173	0.0301247	0.0171963	0.00584662	0.00625937	0.0230407	0.104321	0.0242007	0.0539087	0.0546952	0.0608509	0.0553931	0.00535018	0.0334854	0.0136306	0.0373944	0.0276454	0.0418971	0.0217077	0.00477806	0.0210112	0.0151703	0.0395707	0.0098129	0.000840781	0.0622153	0.00620708	0.0200482	0.0203191	0.615513	0.0303669	0.0176415	0.309178	0.00698217	0.99984	0.999959	1.00004	1.00016	0.314781	0.388971	0.0974711	0.198776	0.6101857	1.218832
80	-4481.502	-4499.456	17.95415	770946.4	0.25855	0.00247043	0.00328964	0.00129218	0.00492561	0.00127068	0.0264375	0.0311173	0.0402675	0.00176248	0.00297457	0.00750214	0.0203921	0.0941751	0.0242007	0.0515742	0.039095	0.0429567	0.0880365	0.010146	0.0386872	0.0199152	0.0221265	0.0268432	0.00147606	0.0141676	0.00174915	0.0168504	0.0132554	0.0349752	0.0497146	0.00328959	0.0708518	0.00445693	0.0291208	0.024023	0.589769	0.0242932	0.0192612	0.317773	0.0248802	0.998553	0.99963	1.00037	1.00145	0.290435	0.408833	0.102495	0.198237	0.6094292	1.099915
90	-4477.967	-4496.429	18.46192	4.989281e+07	0.265778	8.85557e-05	0.00488845	0.000685065	0.000443339	0.00417742	0.0118213	0.0233015	0.0419212	0.00310401	0.00891536	0.00627865	0.00915608	0.0716421	0.0330323	0.027895	0.0442556	0.0638103	0.0719507	0.0371032	0.0272411	0.0230106	0.0200431	0.0228459	0.00984239	0.00806669	0.00397117	0.0209982	0.0158721	0.025814	0.0335429	0.00705842	0.0797482	0.00445693	0.0163791	0.0266335	0.618105	0.0250614	0.0123556	0.287656	0.0301888	0.99982	0.999955	1.00005	1.00018	0.310239	0.382779	0.0963154	0.210666	0.6130805	1.049139
