Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
100	-4491.091	-4508.161	17.0695	9.305776e+07	0.28471	0.00125397	0.00730722	0.00271053	0.00621302	0.00884998	0.0163202	0.0328523	0.036713	0.00494418	0.00558459	0.0151967	0.0265785	0.120436	0.0367934	0.0767345	0.050894	0.0508336	0.0725201	0.0427947	0.0287076	0.024966	0.0165591	0.00721876	0.0451544	0.0235033	0.00669135	0.00976608	0.0197576	0.0135999	0.00460989	0.0524592	0.00158756	0.0244568	0.00910214	0.0247025	0.595004	0.0220057	0.00871264	0.308235	0.0413403	0.999868	0.999966	1.00003	1.00013	0.304574	0.391904	0.112399	0.191123	0.6230132	1.18838
110	-4482.038	-4498.867	16.82934	5.911767e+07	0.394626	0.00150465	0.00350956	0.000665203	0.000894764	0.00421077	0.0163202	0.0198676	0.0170013	0.00381526	0.00619616	0.00904013	0.015256	0.0774368	0.0210542	0.0684807	0.0401219	0.0542315	0.0632996	0.029919	0.0338832	0.0344566	0.0361202	0.0312744	0.0526886	0.0190129	0.000253429	0.00280375	0.0254271	0.00287322	0.0126134	0.061383	0.00348111	0.0333975	0.015277	0.0258864	0.577618	0.0173018	0.00984264	0.338678	0.0306736	0.999835	0.999958	1.00004	1.00017	0.306803	0.384433	0.10056	0.208204	0.5945649	1.212396
120	-4484.871	-4502.877	18.0061	6.659545e+07	0.349951	0.00561246	0.00326292	0.000802525	0.00407535	0.00672239	0.0106442	0.022835	0.0316077	0.00987071	0.00357408	0.00387158	0.0151106	0.051036	0.0204004	0.0612887	0.0352925	0.042133	0.0610358	0.0363663	0.0376982	0.0317067	0.0162602	0.0254922	0.0121177	0.0233821	0.0081459	0.0209115	0.0368841	0.00121193	0.0126134	0.0508388	0.00276404	0.00878969	0.0304105	0.0351527	0.561973	0.024712	0.00780453	0.347433	0.0229245	0.999844	0.99996	1.00004	1.00016	0.281159	0.39985	0.104008	0.214983	0.6119613	1.094721
130	-4481.896	-4499.648	17.75171	1.83724e+07	0.256835	0.00257182	0.00533693	0.00173722	0.00236714	0.00925389	0.0139569	0.0262292	0.0487192	0.00738954	0.00992043	0.00592997	0.0151106	0.108759	0.0283413	0.0439735	0.0393875	0.0648751	0.0968312	0.0285991	0.0248425	0.0201705	0.0136383	0.00232459	0.0337182	0.0134186	0.000855569	0.0397536	0.02733	0.00336737	0.011576	0.0547619	0.00497494	0.0200155	0.0332881	0.0289296	0.582889	0.0176274	0.0143315	0.31702	0.0392023	0.999703	0.999924	1.00008	1.0003	0.29227	0.389131	0.10675	0.211849	0.6285314	1.12016
140	-4481.784	-4500.961	19.17744	1.314908e+07	0.24178	0.0022698	0.0108452	0.000808006	9.5542e-05	0.00343259	0.0132936	0.0272228	0.0295276	0.00702407	0.00381556	0.0134815	0.0104753	0.052873	0.0224465	0.0623593	0.0379801	0.0634736	0.0757838	0.0186272	0.0263071	0.0356153	0.0180173	9.67422e-05	0.0143819	0.00331048	0.00350754	0.0375443	0.0247481	0.00592716	0.0135218	0.0481912	0.0012952	0.0158035	0.0317034	0.0315546	0.521008	0.0437902	0.0190064	0.369006	0.0156353	0.999649	0.99991	1.00009	1.00035	0.294869	0.403265	0.101607	0.200259	0.617018	0.9775862
150	-4479.805	-4497.288	17.48336	5.464676e+07	0.30474	0.00311757	0.00470142	0.000221993	0.000222362	0.00590286	0.0186995	0.0273766	0.0453241	0.00378895	0.0023738	0.00620819	0.0181443	0.0661207	0.0224465	0.0389616	0.0444009	0.0528707	0.0620058	0.0712964	0.020043	0.0269816	0.0280915	0.00630578	0.0111321	0.00122594	0.00653466	0.0352907	0.0171562	0.0136762	0.0148426	0.0971079	0.00923936	0.0164752	0.0439668	0.0311863	0.575744	0.0246722	0.0255243	0.324308	0.0185653	0.999828	0.999956	1.00004	1.00017	0.287682	0.380408	0.117221	0.214689	0.5965794	1.146994
160	-4476.343	-4493.232	16.88885	2.33566e+07	0.37224	0.00119346	0.00471464	0.000597426	0.000245037	0.0039015	0.0172539	0.0201293	0.0435055	0.00634857	0.00343922	0.00168236	0.0216266	0.0751186	0.0341393	0.0549491	0.0266892	0.0684651	0.078856	0.0440357	0.0353881	0.0436724	0.0145916	0.011594	0.0285572	0.0126253	0.00501737	0.0305927	0.0292487	0.00190249	0.0148426	0.050777	0.00643818	0.018127	0.0239402	0.0273841	0.586628	0.0216982	0.023894	0.333161	0.00723434	0.999737	0.999933	1.00007	1.00026	0.282209	0.404915	0.111266	0.201609	0.6225662	1.206445
170	-4486.872	-4504.491	17.61878	3.366323e+07	0.351909	0.00763461	0.000477604	0.000682495	0.00023922	0.00780255	0.0103715	0.031511	0.0391785	0.00407174	0.00171792	0.00823618	0.0163179	0.0777754	0.0091403	0.0705835	0.0404732	0.0673628	0.0561087	0.0179483	0.0170693	0.034114	0.0317753	0.0269793	0.00962629	0.0011108	0.00721304	0.0104276	0.0180284	0.000140619	0.0188807	0.0670165	0.00488785	0.0175947	0.0490463	0.0289719	0.630303	0.0354325	0.0168326	0.275238	0.013222	0.999781	0.999944	1.00006	1.00022	0.268889	0.397265	0.103415	0.230431	0.6172658	1.133453
180	-4488.627	-4506.05	17.42309	6.613079e+07	0.245306	0.00178772	0.00625819	0.000634237	0.00167624	0.00905356	0.0106669	0.0346907	0.0425708	0.0112369	0.00809295	0.00621821	0.0145656	0.112975	0.0298564	0.0689616	0.0337707	0.0570211	0.0737628	0.0309487	0.030969	0.0297961	0.0382766	0.0106512	0.00896822	0.00118288	0.000459373	0.0155924	0.018412	0.00269766	0.0178461	0.0737383	0.00709728	0.0171506	0.0801292	0.0282029	0.597648	0.0335968	0.0157256	0.290246	0.0345806	0.999843	0.99996	1.00004	1.00016	0.301678	0.394524	0.0973235	0.206474	0.624224	1.153021
190	-4485.262	-4504.043	18.78097	4.444786e+07	0.242801	0.00508351	0.00854606	0.000838404	0.000951189	0.00422807	0.0216362	0.0199684	0.0309885	0.00236681	0.00364937	0.00512511	0.0243833	0.117199	0.0191775	0.0471805	0.0474234	0.0325152	0.0431941	0.0238434	0.0349178	0.0198572	0.0203623	0.0214342	0.0180363	0.00053831	0.00417082	0.0377724	0.0227918	0.00872549	0.0136722	0.08666	0.00437257	0.0112194	0.0116039	0.0361782	0.594058	0.0384098	0.00665532	0.296348	0.0283503	0.999809	0.999952	1.00005	1.00019	0.286529	0.38787	0.104623	0.220977	0.6254716	1.017234
200	-4488.15	-4505.944	17.79407	8.561198e+07	0.275153	0.00172078	0.00300284	0.00027004	0.0109203	0.0105763	0.0261258	0.0424084	0.0453315	0.00311551	0.00851193	0.00724408	0.012639	0.0851419	0.027001	0.0308239	0.0509011	0.0333052	0.0830998	0.0117947	0.0210424	0.0185573	0.0194937	0.0372917	0.0457616	0.0185729	0.00245409	0.0225499	0.0208075	0.000752405	0.0136722	0.0860879	0.0041851	0.025885	0.00972309	0.0300145	0.613438	0.0268561	0.0190078	0.278906	0.0317777	0.999863	0.999965	1.00003	1.00014	0.292687	0.386774	0.105835	0.214705	0.6043906	1.115924
210	-4482.713	-4499.629	16.91598	3.04595e+07	0.351104	0.00165526	0.0120323	0.00170576	0.00284574	0.00400545	0.0149463	0.0275746	0.0453315	0.0172854	0.00642913	0.0154074	0.0137017	0.0776953	0.0128199	0.0485086	0.049967	0.0556031	0.0818982	0.0319412	0.0278847	0.0234332	0.0206076	0.0223304	0.0260451	0.00190395	0.000373909	0.0328573	0.0294441	0.00358659	0.0147648	0.0860879	0.00237914	0.0143148	0.0252607	0.0200425	0.542121	0.0268196	0.020966	0.358261	0.0317903	0.99977	0.999941	1.00006	1.00023	0.311485	0.388389	0.115529	0.184597	0.6284993	1.203732
220	-4484.467	-4500.592	16.12412	3.281329e+07	0.418452	0.000899438	0.00834701	0.00623237	0.00526421	0.00563452	0.0156081	0.0182768	0.0396668	0.0026971	0.00234129	0.00479725	0.021322	0.0725815	0.0179119	0.0524274	0.0510908	0.0631127	0.0902273	0.00575992	0.0265366	0.0314691	0.0237902	0.0779454	0.0299669	0.00527807	0.000441942	0.0230511	0.0282186	0.00263815	0.0111638	0.0900136	0.00570256	0.015003	0.0090487	0.0186843	0.564606	0.0413666	0.0201139	0.33849	0.0167393	0.999778	0.999944	1.00006	1.00022	0.297373	0.382671	0.118457	0.2015	0.6098525	1.282918
230	-4478.755	-4496.211	17.45648	7.123923e+07	0.328688	0.000899438	0.00390199	0.0002052	0.00153777	0.00572023	0.0197404	0.0253126	0.0309738	0.015074	0.00725933	0.00381083	0.0233262	0.0834993	0.0149538	0.0654789	0.0218112	0.0592934	0.0735897	0.0378812	0.0301675	0.0217006	0.0179928	0.0307611	0.0316507	0.0291405	0.000469384	0.00467108	0.0236269	0.0103381	0.0168259	0.0829199	0.00524983	0.0114678	0.00974285	0.0212129	0.638213	0.0293721	0.0151614	0.258149	0.0378911	0.99985	0.999962	1.00004	1.00015	0.296607	0.392734	0.0994427	0.211216	0.6085252	1.149683
240	-4488.401	-4506.194	17.79325	8.573435e+07	0.299443	0.00399979	0.00522544	0.004111	0.0026738	0.00863565	0.0151292	0.0309272	0.0521643	0.000741534	0.00321878	0.00381083	0.0108744	0.0688338	0.0388003	0.0497098	0.0460925	0.0483771	0.0606621	0.0181381	0.0289299	0.0203273	0.0178837	0.0456215	0.0382868	0.0251188	0.000496921	0.0034179	0.0194689	0.0083061	0.00609004	0.085511	0.00345703	0.0125981	0.0289229	0.0137875	0.583163	0.0321997	0.0154933	0.299582	0.0557744	0.999863	0.999965	1.00003	1.00014	0.313062	0.364263	0.118209	0.204466	0.6237653	1.116005
250	-4479.854	-4497.821	17.96725	4.249615e+07	0.298969	0.00305898	0.00753616	0.00167178	0.0026433	0.00138755	0.0115821	0.0297897	0.0333522	0.00448457	0.0118075	0.0121818	0.0131154	0.0911595	0.025208	0.05257	0.0309475	0.0367169	0.0614668	0.030215	0.0187203	0.030236	0.0102877	0.0336229	0.0256819	0.0294953	0.00019917	0.00735199	0.0234323	0.00158283	0.0206427	0.0921406	0.00513227	0.0215784	0.0186382	0.0177858	0.616273	0.0369571	0.0156959	0.307097	0.00619181	0.999805	0.99995	1.00005	1.00019	0.288726	0.400167	0.104506	0.2066	0.6219553	1.098606
260	-4484.025	-4502.242	18.21684	9.334094e+07	0.264171	0.00192985	0.0103369	0.00132387	0.000128714	0.00417885	0.0148712	0.0376831	0.0445171	0.00153071	0.00242935	0.00749757	0.0260123	0.062036	0.0376338	0.0517116	0.0361414	0.0303479	0.0580971	0.0275722	0.0369227	0.0426096	0.0119304	0.0374178	0.0249452	0.0081908	0.00324196	0.0313311	0.0157347	0.00410345	0.0202221	0.0786719	0.009002	0.00691989	0.0222522	0.0220959	0.571654	0.0403228	0.0153348	0.33994	0.0106524	0.999869	0.999966	1.00003	1.00013	0.291496	0.396793	0.114296	0.197415	0.6351915	1.073646
270	-4479.874	-4495.986	16.1122	4.646756e+07	0.385121	0.000856653	0.0103369	0.000898142	0.000524074	0.00307984	0.0138778	0.0393039	0.0460124	0.00612113	0.00896625	0.00876114	0.0201249	0.101252	0.0252638	0.0654662	0.0341444	0.0607544	0.0614827	0.022987	0.0298147	0.0301875	0.0294871	0.0417701	0.0248223	0.0154489	0.00591466	0.0549236	0.031553	0.00268653	0.00632082	0.041785	0.00531918	0.0188477	0.0298953	0.025816	0.563837	0.0284313	0.0140613	0.346854	0.0210003	0.999814	0.999952	1.00005	1.00019	0.293001	0.395356	0.112559	0.199084	0.5974282	1.28411
