Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	part_rate[1]	part_rate[2]	part_rate_mult[1]	part_rate_mult[2]	pinvar[1]	pinvar[2]	TL
0	-7668.406	-7643.266	-25.13952	7.69585e+07	1.72318e+07	0.136709	0.0764961	0.114135	0.0355366	0.171271	0.132534	0.00797246	0.199764	0.07231	0.0650798	0.226465	0.0247419	0.0410108	0.235425	0.148732	0.365131	0.0731335	0.577392	0.235381	0.0302843	0.0977099	0.227887	0.0602846	0.0087284	0.0860591	0.0487049	0.265819	0.0219724	0.13519	0.227653	0.00617662	0.0123122	0.0706315	0.00819259	0.0606217	0.58681	1.82638	0.391207	0.608793	0.686494	0.476769	4.307447
10	-4873.682	-4867.305	-6.376872	4.06393e+07	2.88036e+07	0.296224	0.0297626	0.034006	0.0301341	0.0367606	0.0250692	0.00935337	0.0504743	0.0414679	0.0326724	0.117885	0.00766343	0.0299496	0.108795	0.162388	0.20973	0.10111	0.139676	0.160716	0.00413394	0.0128726	0.0961205	0.0498278	0.000804256	0.0156661	0.0168338	0.0482379	0.00617593	0.0249158	0.122034	0.0379963	0.00382807	0.0790492	0.0138679	0.0162788	0.349372	2.30126	0.232914	0.767086	0.732996	0.118946	2.172481
20	-4414.292	-4409.107	-5.184297	2.66752e+07	7.98377e+07	0.319936	0.0058453	0.0136201	0.0115107	0.0338653	0.00411764	0.0296503	0.0154894	0.0496146	0.017315	0.0726806	0.00897299	0.018948	0.154262	0.122727	0.125495	0.0768054	0.0534685	0.0724714	0.00498697	0.00539067	0.0375853	0.0756705	0.00176102	0.0103324	0.0485211	0.0232137	0.00372807	0.0238481	0.0823672	0.030206	0.0140718	0.0414389	0.0251809	0.0086104	0.195511	2.60898	0.130341	0.869659	0.794078	0.111668	1.643707
30	-4277.924	-4276.79	-1.133628	7.59761e+07	4.81528e+07	0.295051	0.00107633	0.00370366	0.00731127	0.0285739	0.00231352	0.00985424	0.01943	0.0238909	0.00951606	0.0225963	0.00761817	0.0112563	0.124749	0.0909588	0.0804405	0.0320734	0.0491561	0.102774	0.0144128	0.0105643	0.0209167	0.108377	0.00238776	0.00799731	0.06886	0.00846158	0.00173211	0.0236559	0.0679458	0.051222	0.0259303	0.0318257	0.0301749	0.00601562	0.243622	2.51276	0.162415	0.837585	0.802312	0.0278801	1.402823
40	-4255.375	-4248.703	-6.671845	6.66701e+07	8.58639e+07	0.455314	0.00317448	0.00264265	0.0144354	0.0119872	0.00625992	0.0137638	0.0310288	0.0268814	0.00506205	0.00301839	0.0124533	0.0110639	0.0972195	0.129898	0.108735	0.0346756	0.0711917	0.0902495	0.0174496	0.0114672	0.0254124	0.092172	0.00170975	0.0113432	0.05386	0.0135079	0.00352286	0.0109539	0.0852713	0.0517832	0.0386779	0.0505722	0.0204572	0.0112592	0.158442	2.68312	0.105628	0.894372	0.814738	0.0642236	1.628474
50	-4211.541	-4204.437	-7.103821	6.31852e+07	7.21818e+07	0.543232	0.0042674	0.00378463	0.0166447	0.00597378	0.00249939	0.0161	0.0327384	0.0119537	0.00517651	0.00592976	0.00883566	0.0234641	0.0997261	0.0902009	0.069493	0.0462169	0.0835384	0.0749832	0.0176724	0.011893	0.0101485	0.136931	0.00180605	0.0364522	0.0550884	0.0103321	0.0018992	0.00827318	0.0497783	0.0392547	0.059546	0.104218	0.0383532	0.0114403	0.172311	2.65538	0.114874	0.885126	0.829757	0.109219	1.737844
60	-4156.888	-4154.676	-2.212052	6.1491e+07	2.97498e+07	0.386498	0.00319411	0.00721599	0.00724898	0.00196011	0.00470676	0.022473	0.0241507	0.024021	0.00795785	0.00499488	0.00897749	0.018756	0.107464	0.0568877	0.0346917	0.0555481	0.0390581	0.0901478	0.0182049	0.0062587	0.0117127	0.0956141	0.00205548	0.025666	0.0471506	0.00661975	0.00277099	0.00730095	0.0207626	0.0356852	0.0223137	0.081344	0.068137	0.00689884	0.200167	2.59967	0.133445	0.866555	0.772491	0.0625296	1.364448
70	-4137.257	-4137.477	0.2200726	8.83673e+07	4.77231e+07	0.328978	0.0117608	0.0134824	0.00227861	0.00090579	0.00236094	0.0211161	0.0260306	0.0440734	0.00482634	0.00598516	0.00900947	0.0218225	0.0859931	0.0337731	0.0409781	0.0289139	0.0563174	0.0730028	0.0210876	0.00938066	0.0210584	0.0419852	0.00343847	0.0217423	0.0503987	0.00618827	0.00309456	0.0158569	0.0121834	0.0356618	0.016712	0.0556363	0.0556885	0.0049707	0.218316	2.56337	0.145544	0.854456	0.787419	0.0364493	1.186692
80	-4123.14	-4122.21	-0.9302608	2.18753e+07	5.61098e+07	0.400145	0.00678858	0.0125846	0.000803778	0.000376469	0.00373619	0.0111242	0.0202005	0.0245644	0.00585077	0.00392581	0.00998552	0.0207217	0.0878376	0.0264762	0.069257	0.0500507	0.0465357	0.0744984	0.0166028	0.00481764	0.0409751	0.0457314	0.00643415	0.0178737	0.036774	0.0167969	0.00210157	0.0232276	0.0159041	0.0335349	0.00459991	0.056081	0.0737685	0.00469887	0.21078	2.57844	0.14052	0.85948	0.789558	0.0552964	1.275386
90	-4124.174	-4121.945	-2.229068	1.08274e+07	4.26786e+07	0.413251	0.00336238	0.00643952	0.00104049	0.00190433	0.000985359	0.0280283	0.0246571	0.0348439	0.00215674	0.00871879	0.00741687	0.0138452	0.0898386	0.0241948	0.0670091	0.0376912	0.0646507	0.0916435	0.0237159	0.00500058	0.081032	0.0353324	0.00679917	0.0175266	0.0469088	0.0142217	0.00247626	0.0229418	0.0345959	0.0621699	0.0105383	0.0476993	0.0447544	0.00570122	0.204682	2.59064	0.136455	0.863545	0.731918	0.0222978	1.383093
100	-4124.123	-4122.114	-2.009193	7.243e+07	6.5703e+07	0.455717	0.00372513	0.00781748	0.0002464	0.00145126	0.0010573	0.0280115	0.0238743	0.0297898	0.00804099	0.00976063	0.00696705	0.0232198	0.141065	0.0156005	0.0458603	0.0382349	0.0498893	0.0920618	0.0135942	0.00152528	0.0694936	0.0238594	0.0170325	0.0257227	0.0786998	0.0121291	0.00220323	0.0277451	0.0336391	0.042957	0.00429719	0.0444173	0.0254595	0.00458464	0.218354	2.56329	0.145569	0.854431	0.789508	0.0415607	1.40975
110	-4130.538	-4132.678	2.139883	6.48718e+07	3.31967e+07	0.26313	0.00594464	0.00358829	0.000174708	0.0032447	0.000811752	0.018807	0.0107119	0.0213579	0.00651349	0.00545698	0.00908284	0.0182552	0.0727101	0.0119823	0.0623818	0.0327528	0.0550688	0.0752982	0.0282979	0.00442422	0.0706358	0.0174671	0.0199762	0.0171325	0.0305359	0.00928844	0.00424111	0.0372421	0.00863578	0.0344517	0.0103863	0.070425	0.019357	0.00389355	0.239698	2.5206	0.159799	0.840201	0.747208	0.0690838	1.063664
120	-4132.455	-4132.296	-0.1588827	8.99634e+07	5.19308e+06	0.335716	0.00828129	0.0014747	5.53081e-05	0.00523519	0.000525401	0.0102314	0.0123978	0.0350759	0.00603975	0.00175526	0.00383641	0.0119599	0.116513	0.00953366	0.0677369	0.0245671	0.0660827	0.0598699	0.0290541	0.00894437	0.10634	0.0231232	0.0262907	0.0274372	0.0515054	0.0185404	0.00580986	0.0291863	0.0180105	0.0313566	0.0184767	0.0560401	0.0399515	0.00397776	0.232407	2.53519	0.154938	0.845062	0.812675	0.0847834	1.270932
130	-4123.293	-4124.279	0.9857254	7.14327e+07	4.382e+06	0.359136	0.00334747	0.00239227	4.36315e-05	0.00169953	0.000991132	0.0151651	0.0265692	0.0238999	0.00330618	0.00428495	0.0170763	0.0129999	0.0748349	0.0302901	0.0355485	0.0367077	0.0396595	0.0569252	0.0193766	0.00587278	0.0638457	0.0378177	0.0115357	0.0242843	0.0490235	0.0106154	0.00286063	0.0242308	0.010386	0.0249464	0.013522	0.0455581	0.0449085	0.0046355	0.226749	2.5465	0.151166	0.848834	0.793622	0.0447449	1.138298
