Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	part_rate[1]	part_rate[2]	part_rate_mult[1]	part_rate_mult[2]	pinvar[1]	pinvar[2]	TL
100	-4129.736	-4127.358	-2.377475	7.86221e+07	1.1817e+06	0.431461	0.00335136	0.00774387	0.00134449	0.00430741	0.00529518	0.0157695	0.0415975	0.0297392	0.00317097	0.00851533	0.00377427	0.0229651	0.12555	0.0271655	0.0507794	0.0361994	0.0633896	0.0947655	0.0335789	0.00411855	0.0192642	0.0332566	0.0151986	0.0166245	0.0215811	0.0240077	0.00200968	0.00459637	0.0150124	0.0360235	0.0800845	0.0630033	0.00408076	0.0487266	0.204714	2.59057	0.136476	0.863524	0.769215	0.0666474	1.398052
110	-4129.521	-4129.024	-0.4964783	8.41896e+07	2.69598e+06	0.390146	0.00848871	0.00113779	0.00138892	0.00433366	0.0058783	0.0211806	0.0258404	0.0062239	0.00670267	0.00214738	0.00668414	0.0165192	0.111058	0.0459965	0.0629666	0.0427698	0.0494465	0.0783078	0.0445964	0.00167776	0.0362907	0.0269508	0.0132412	0.0222288	0.0307567	0.0309525	0.00279496	0.0110897	0.0173752	0.0420511	0.0894396	0.0142644	0.0136192	0.0444833	0.240268	2.51946	0.160179	0.839821	0.750268	0.0375598	1.32903
120	-4121.612	-4120.123	-1.489123	3.69834e+07	1.37988e+06	0.374478	0.00568852	0.000976043	0.000780437	0.00210415	0.00173337	0.0195789	0.0268708	0.0269859	0.0120798	0.00469817	0.0043136	0.0125283	0.0808833	0.0195564	0.0676277	0.0359745	0.0357778	0.0707197	0.0148769	0.0029271	0.0404163	0.029908	0.0404053	0.0184317	0.0349968	0.0246325	0.00671145	0.00571763	0.0160265	0.0378776	0.0919517	0.0323502	0.0171231	0.0342551	0.189929	2.62014	0.126619	0.873381	0.796677	0.008997	1.251963
130	-4118.504	-4119.587	1.082486	7.09879e+07	1.25534e+06	0.322525	0.00584741	0.0015181	0.00121616	0.000969566	0.00530475	0.0147423	0.0305097	0.0475262	0.0051213	0.00304097	0.00799544	0.0120363	0.10969	0.0224306	0.0511856	0.0362463	0.0456226	0.0794379	0.0350032	0.0008691	0.0368733	0.0272105	0.0346043	0.0189223	0.0163198	0.0356824	0.00152297	0.00192478	0.0165445	0.0156904	0.0806269	0.0214059	0.0166307	0.0536571	0.255839	2.48832	0.17056	0.82944	0.696489	0.0037888	1.216455
140	-4127.34	-4126.687	-0.6529559	4.00031e+07	681088	0.316664	0.0051388	0.00221859	0.00163689	0.00171316	0.00745595	0.0131009	0.019134	0.0435441	0.00580543	0.00866934	0.00749718	0.0152217	0.0896242	0.0153999	0.0893479	0.0216823	0.0464828	0.0694886	0.024608	0.0013505	0.0358074	0.0356782	0.0506745	0.0259273	0.0435991	0.0528787	0.00473587	0.00107412	0.0194422	0.0153452	0.0659181	0.00899466	0.0189287	0.0336677	0.202795	2.59441	0.135197	0.864803	0.761175	0.0321958	1.218456
150	-4130.721	-4129.92	-0.8007773	6.74685e+07	1.14697e+06	0.373286	0.004498	0.00253658	0.00284791	0.000945333	0.00591527	0.0211583	0.0290572	0.0190826	0.00611225	0.00702061	0.00506701	0.00989701	0.0955962	0.0179455	0.0531759	0.0436427	0.0389776	0.065224	0.0140429	0.00224662	0.0110945	0.0220934	0.0487809	0.027797	0.0615699	0.0630226	0.00430263	0.00893263	0.0238648	0.0324075	0.0698614	0.00956491	0.022637	0.0329571	0.209309	2.58138	0.139539	0.860461	0.812676	0.00345503	1.257161
160	-4135.549	-4134.855	-0.693732	4.07e+07	587389	0.377618	0.0038423	0.0062474	0.0085558	0.00321168	0.00974012	0.016488	0.0353233	0.0277351	0.00331662	0.0110252	0.00349961	0.0135058	0.0927121	0.0421385	0.0431978	0.0306411	0.0505752	0.0526308	0.00693884	0.00582416	0.0254925	0.0171301	0.0228843	0.0251315	0.0310517	0.0744939	0.000685253	0.00885626	0.00964911	0.0307849	0.0891649	0.00432284	0.0154681	0.0465736	0.209309	2.58138	0.139539	0.860461	0.801815	0.0261253	1.246457
170	-4143.292	-4143.858	0.5661961	3.22588e+07	755771	0.292856	0.00289995	0.00675234	0.00443088	0.00163287	0.00678381	0.0190649	0.0247604	0.033962	0.00565058	0.00488003	0.00649543	0.0141733	0.145365	0.00836576	0.0531392	0.039674	0.0538067	0.109613	0.00445259	0.0150931	0.027251	0.016489	0.0370925	0.0179355	0.0449475	0.0902604	0.00113461	0.00786662	0.0118833	0.0245203	0.0730662	0.00502699	0.0244833	0.0326121	0.25596	2.48808	0.17064	0.82936	0.728851	0.044873	1.268421
180	-4133.883	-4131.111	-2.77287	1.79989e+07	578719	0.409898	0.00386887	0.00645206	0.00189864	0.00382601	0.00384732	0.0179594	0.0207621	0.0393982	0.00357306	0.0117511	0.00811913	0.0121554	0.0926391	0.00814005	0.0814136	0.0369176	0.0407135	0.0504536	0.00395568	0.00449559	0.0294156	0.0202276	0.0448233	0.0392204	0.0213493	0.0748548	0.00330919	0.0109918	0.030035	0.0133245	0.0971821	0.00321284	0.0181167	0.0331639	0.171591	2.65682	0.114394	0.885606	0.802631	0.0399977	1.301465
190	-4122.314	-4123.509	1.194817	1.37508e+07	1.31368e+06	0.296189	0.00240707	0.00570374	0.00175084	0.0034332	0.00295171	0.0202151	0.0281513	0.0275671	0.00138708	0.0062871	0.00661071	0.00875338	0.0883459	0.0194027	0.0508196	0.023809	0.0537308	0.0787343	0.00668764	0.00400188	0.027413	0.0312421	0.0434743	0.018259	0.0221277	0.0581981	0.00724672	0.0052416	0.0149561	0.00984077	0.0677263	0.00339645	0.0157935	0.0267274	0.21813	2.56374	0.14542	0.85458	0.774352	0.0128414	1.088583
